	date_and_time	time	left_eye_EAR	right_eye_EAR	AVERAGE_EAR	LAR	ANGLE
0	2018-03-25 18:55:20 604000	18:55	0.31622776601683794	0.35179877236514595	0.33401326919099195	0.27418597733328015	-7.969610394321364
1	2018-03-25 18:55:20 720000	18:55	0.3007732496038529	0.2996257016633534	0.30019947563360316	0.2940207392348013	-6.842773412630947
2	2018-03-25 18:55:20 814000	18:55	0.274115984800681	0.30262874684312724	0.2883723658219041	0.29095646724280483	-7.815293546766867
3	2018-03-25 18:55:20 909000	18:55	0.2842923630688184	0.30064006702429674	0.29246621504655756	0.35050932946772373	-8.530765609948133
4	2018-03-25 18:55:21 016000	18:55	0.29065658392992416	0.3351155373249634	0.3128860606274438	0.3273641740543547	-7.2750049578892515
5	2018-03-25 18:55:21 109000	18:55	0.2650854018430103	0.29264061094811233	0.27886300639556133	0.31198901555051656	-8.297144969836864
6	2018-03-25 18:55:21 205000	18:55	0.2811306984328539	0.32515496471407135	0.3031428315734626	0.31198901555051656	-6.842773412630947
7	2018-03-25 18:55:21 299000	18:55	0.2764517688263447	0.3016921834310232	0.28907197612868396	0.2956949100060299	-4.4846060095446205
8	2018-03-25 18:55:21 400000	18:55	0.27653315937748607	0.25460333819405395	0.26556824878577	0.3337263624417497	-8.841814560191665
9	2018-03-25 18:55:21 506000	18:55	0.29264061094811233	0.3197029007553438	0.30617175585172807	0.30880479429556806	-4.96974072811031
10	2018-03-25 18:55:21 614000	18:55	0.2767114301352826	0.2978879006693419	0.2872996654023122	0.35430004736187387	-7.94347181059041
11	2018-03-25 18:55:21 724000	18:55	0.25120465266771475	0.2693811516220012	0.260292902144858	0.30991439601148824	-6.340191745909891
12	2018-03-25 18:55:21 831000	18:55	0.24087440257466058	0.28964222318174615	0.26525831287820334	0.31649951358264544	-6.48307369289725
13	2018-03-25 18:55:21 938000	18:55	0.2628928070266437	0.2671116827781183	0.265002244902381	0.34353530738480154	-6.48307369289725
14	2018-03-25 18:55:22 032000	18:55	0.2693811516220012	0.2949955097939174	0.28218833070795935	0.3262882556577649	-6.48307369289725
15	2018-03-25 18:55:22 124000	18:55	0.2055270768301462	0.20447218324294508	0.20499963003654564	0.34419531818996757	-3.990913098429786
16	2018-03-25 18:55:22 220000	18:55	0.2139062186164015	0.21280831802947608	0.21335726832293878	0.3264581128607645	-3.900493742381883
17	2018-03-25 18:55:22 315000	18:55	0.3351155373249634	0.30738052751370193	0.32124803241933264	0.333915732852824	-3.900493742381883
18	2018-03-25 18:55:22 406000	18:55	0.3328201177351375	0.3547621232692877	0.3437911205022126	0.34384026559217074	-3.814074834290352
19	2018-03-25 18:55:22 535000	18:55	0.2773500981126146	0.29361010975735174	0.28548010393498313	0.3260215951768338	-5.079607860014562
20	2018-03-25 18:55:22 641000	18:55	0.25617014275584565	0.2707709174319611	0.26347053009390337	0.3253819784072664	-5.079607860014562
21	2018-03-25 18:55:22 769000	18:55	0.2999423243289873	0.292103118918493	0.29602272162374016	0.32395726516746437	-5.194428907734789
22	2018-03-25 18:55:22 898000	18:55	0.26715641180702626	0.27947416275884407	0.2733152872829352	0.34353530738480154	-5.194428907734789
23	2018-03-25 18:55:23 009000	18:55	0.2949955097939174	0.2828954962257003	0.28894550300980887	0.33507590245042695	-5.194428907734789
24	2018-03-25 18:55:23 137000	18:55	0.24951314462072213	0.23727844885472751	0.24339579673772482	0.30610243030450723	-5.079607860014562
25	2018-03-25 18:55:23 265000	18:55	0.29361010975735174	0.31323027878410764	0.3034201942707297	0.3263045677129316	-6.48307369289725
26	2018-03-25 18:55:23 394000	18:55	0.24951314462072213	0.2557041559783794	0.25260865029955076	0.34280668363604294	-5.079607860014562
27	2018-03-25 18:55:23 508000	18:55	0.24951314462072213	0.2317137785453969	0.24061346158305952	0.33346571330672814	-6.340191745909891
28	2018-03-25 18:55:23 636000	18:55	0.23850259343081628	0.2352794372544048	0.23689101534261053	0.32455867188311766	-6.48307369289725
29	2018-03-25 18:55:23 761000	18:55	0.23488808780588138	0.2532803652007522	0.2440842265033168	0.34389357093886014	-6.48307369289725
30	2018-03-25 18:55:23 873000	18:55	0.23488808780588138	0.2487594069171465	0.24182374736151396	0.34117887765556687	-6.48307369289725
31	2018-03-25 18:55:24 001000	18:55	0.29942473580817114	0.31323027878410764	0.3063275072961394	0.3344568351271982	-6.48307369289725
32	2018-03-25 18:55:24 128000	18:55	0.26424909878161656	0.24087440257466058	0.2525617506781386	0.34230745149006675	-5.194428907734789
33	2018-03-25 18:55:24 260000	18:55	0.29942473580817114	0.2978879006693419	0.2986563182387565	0.3320056047318965	-6.48307369289725
34	2018-03-25 18:55:24 373000	18:55	0.24211709905575113	0.2336824951347944	0.23789979709527276	0.33335087904902516	-5.194428907734789
35	2018-03-25 18:55:24 499000	18:55	0.23488808780588138	0.2606780008635715	0.24778304433472645	0.3420926930070513	-5.314545669944749
36	2018-03-25 18:55:24 625000	18:55	0.2800964052936168	0.2336824951347944	0.2568894502142056	0.3344568351271982	-6.48307369289725
37	2018-03-25 18:55:24 740000	18:55	0.2683266360475783	0.2532803652007522	0.26080350062416524	0.3344568351271982	-6.48307369289725
38	2018-03-25 18:55:24 869000	18:55	0.3125	0.31323027878410764	0.31286513939205385	0.3330555124223695	-6.340191745909891
39	2018-03-25 18:55:24 994000	18:55	0.24951314462072213	0.2336824951347944	0.24159781987775825	0.32499808718435874	-5.194428907734789
40	2018-03-25 18:55:25 109000	18:55	0.24211709905575113	0.2336824951347944	0.23789979709527276	0.32523134849954277	-5.194428907734789
41	2018-03-25 18:55:25 235000	18:55	0.29361010975735174	0.26354602406911043	0.27857806691323106	0.32523134849954277	-6.6325146151384615
42	2018-03-25 18:55:25 361000	18:55	0.2647058823529412	0.2336824951347944	0.24919418874386778	0.3343374647173105	-5.194428907734789
43	2018-03-25 18:55:25 493000	18:55	0.29411764705882354	0.24087440257466058	0.26749602481674206	0.3344077862072473	-5.194428907734789
44	2018-03-25 18:55:25 607000	18:55	0.23529411764705882	0.28214861759762744	0.2587213676223431	0.32499119285999345	-3.900493742381883
45	2018-03-25 18:55:25 743000	18:55	0.26786360440655144	0.2606780008635715	0.2642708026350615	0.3340534144396029	-5.194428907734789
46	2018-03-25 18:55:25 866000	18:55	0.26424909878161656	0.2336824951347944	0.24896579695820548	0.3420926930070513	-3.900493742381883
47	2018-03-25 18:55:25 980000	18:55	0.2538470508005519	0.24806946917841693	0.2509582599894844	0.3517964671952263	-3.900493742381883
48	2018-03-25 18:55:26 107000	18:55	0.23891487134169592	0.2693811516220012	0.25414801148184857	0.33335087904902516	-3.900493742381883
49	2018-03-25 18:55:26 236000	18:55	0.29702998569390543	0.2628928070266437	0.27996139636027456	0.3437342179095907	-5.079607860014562
50	2018-03-25 18:55:26 355000	18:55	0.2647058823529412	0.24087440257466058	0.2527901424638009	0.3627430567692626	-5.079607860014562
51	2018-03-25 18:55:26 464000	18:55	0.23488808780588138	0.24087440257466058	0.23788124519027098	0.35999610775213503	-5.194428907734789
52	2018-03-25 18:55:26 595000	18:55	0.25	0.20447218324294508	0.22723609162147254	0.3815457977959175	-3.990913098429786
53	2018-03-25 18:55:26 721000	18:55	0.23488808780588138	0.20447218324294508	0.21968013552441323	0.3427499322162372	-3.900493742381883
54	2018-03-25 18:55:26 833000	18:55	0.2538470508005519	0.2557041559783794	0.2547756033894657	0.3335250885234933	-3.900493742381883
55	2018-03-25 18:55:26 962000	18:55	0.23488808780588138	0.2336824951347944	0.2342852914703379	0.3339624568129347	-2.602562202499797
56	2018-03-25 18:55:27 092000	18:55	0.25335270359176765	0.23727844885472751	0.24531557622324757	0.35163988288886083	-3.814074834290352
57	2018-03-25 18:55:27 203000	18:55	0.23488808780588138	0.2336824951347944	0.2342852914703379	0.33312959485555355	-2.6630007660671424
58	2018-03-25 18:55:27 329000	18:55	0.23488808780588138	0.2139062186164015	0.22439715321114145	0.3519053138982574	-5.194428907734789
59	2018-03-25 18:55:27 456000	18:55	0.2571922625628131	0.2832553219924299	0.2702237922776215	0.34321103249661405	-5.079607860014562
60	2018-03-25 18:55:27 585000	18:55	0.21832400154313186	0.2110154611626203	0.2146697313528761	0.3246499730792297	-6.340191745909891
61	2018-03-25 18:55:27 701000	18:55	0.23488808780588138	0.24087440257466058	0.23788124519027098	0.33334793569320353	-5.194428907734789
62	2018-03-25 18:55:27 830000	18:55	0.23488808780588138	0.28964222318174615	0.2622651554938138	0.3236633874109443	-6.48307369289725
63	2018-03-25 18:55:27 954000	18:55	0.24951314462072213	0.2557041559783794	0.25260865029955076	0.35330632095760073	-5.079607860014562
64	2018-03-25 18:55:28 066000	18:55	0.19219615962682976	0.19108411851099838	0.19164013906891408	0.35181030198416086	-6.6325146151384615
65	2018-03-25 18:55:28 194000	18:55	0.1388888888888889	0.1168412475673972	0.12786506822814303	0.352269737747347	-5.194428907734789
66	2018-03-25 18:55:28 320000	18:55	0.24211709905575113	0.2336824951347944	0.23789979709527276	0.34183849659650345	-5.194428907734789
67	2018-03-25 18:55:28 448000	18:55	0.292103118918493	0.2949955097939174	0.29354931435620524	0.34280668363604294	-6.48307369289725
68	2018-03-25 18:55:28 560000	18:55	0.3149797645528214	0.2336824951347944	0.2743311298438079	0.3344568351271982	-6.48307369289725
69	2018-03-25 18:55:28 691000	18:55	0.29361010975735174	0.24087440257466058	0.26724225616600616	0.32523134849954277	-6.48307369289725
70	2018-03-25 18:55:28 820000	18:55	0.23488808780588138	0.24806946917841693	0.24147877849214916	0.33622558397946206	-5.314545669944749
71	2018-03-25 18:55:28 931000	18:55	0.2807022876983124	0.2628928070266437	0.2717975473624781	0.3512748242558963	-5.194428907734789
72	2018-03-25 18:55:29 066000	18:55	0.23850259343081628	0.2336824951347944	0.23609254428280535	0.3627430567692626	-5.194428907734789
73	2018-03-25 18:55:29 194000	18:55	0.23850259343081628	0.2336824951347944	0.23609254428280535	0.3423109969530568	-5.194428907734789
74	2018-03-25 18:55:29 300000	18:55	0.25335270359176765	0.23727844885472751	0.24531557622324757	0.3414492137170273	-5.194428907734789
75	2018-03-25 18:55:29 425000	18:55	0.23488808780588138	0.24087440257466058	0.23788124519027098	0.34353530738480154	-5.194428907734789
