	date_and_time	time	left_eye_EAR	right_eye_EAR	AVERAGE_EAR	LAR	ANGLE
0	2018-03-25 19:43:25 784000	19:43	0.2817453554274446	0.2897074372210124	0.28572639632422847	0.3544893158679248	-6.86999230821425
1	2018-03-25 19:43:26 154000	19:43	0.26543387168830185	0.2534630477483115	0.25944845971830666	0.35892464003532365	-6.340191745909891
2	2018-03-25 19:43:26 508000	19:43	0.2359977280678548	0.25793447709229594	0.24696610258007537	0.3531753484584896	-5.640549432156803
3	2018-03-25 19:43:26 874000	19:43	0.2438633847294646	0.26638449408694254	0.25512393940820355	0.3638739326432983	-5.640549432156803
4	2018-03-25 19:43:27 226000	19:43	0.3134470086591258	0.32152400656298624	0.317485507611056	0.3699118402935776	-5.640549432156803
5	2018-03-25 19:43:27 583000	19:43	0.2963548151650062	0.2897074372210124	0.2930311261930093	0.3539286189724372	-5.640549432156803
6	2018-03-25 19:43:27 941000	19:43	0.2739030354470016	0.27382095715665417	0.2738619963018279	0.3646006679383373	-5.640549432156803
7	2018-03-25 19:43:28 297000	19:43	0.29075089419334005	0.29075089419334005	0.29075089419334005	0.3544893158679248	-6.340191745909891
8	2018-03-25 19:43:28 644000	19:43	0.2889434759062992	0.3056157218919993	0.29727959889914923	0.34886420029213555	-6.188615963241574
9	2018-03-25 19:43:29 001000	19:43	0.2510450327884403	0.23363465675799888	0.2423398447732196	0.3555460362719418	-4.343239951689384
10	2018-03-25 19:43:29 343000	19:43	0.2964405255354861	0.3156277919065655	0.3060341587210258	0.34907526417744267	-5.572197803963803
11	2018-03-25 19:43:29 689000	19:43	0.29721642983914115	0.2991983466782894	0.2982073882587153	0.35969859292035444	-6.2634906143345574
12	2018-03-25 19:43:30 052000	19:43	0.3067164767049242	0.2991983466782894	0.3029574116916068	0.35452078939124726	-6.2634906143345574
13	2018-03-25 19:43:30 408000	19:43	0.29075089419334005	0.2991983466782894	0.2949746204358147	0.355057934508966	-6.2634906143345574
14	2018-03-25 19:43:30 765000	19:43	0.30751005235654527	0.2897074372210124	0.29860874478877886	0.3705132736801528	-6.2634906143345574
15	2018-03-25 19:43:31 111000	19:43	0.2662954863624368	0.27382095715665417	0.27005822175954547	0.36453952030926484	-6.86999230821425
16	2018-03-25 19:43:31 454000	19:43	0.29061170633097244	0.28279142038261595	0.2867015633567942	0.3649228019544256	-5.262395399595107
17	2018-03-25 19:43:31 800000	19:43	0.30751005235654527	0.2991983466782894	0.3033541995174173	0.34896308026708195	-6.188615963241574
18	2018-03-25 19:43:32 157000	19:43	0.2755182107461023	0.27382095715665417	0.2746695839513782	0.3684458840865582	-6.188615963241574
19	2018-03-25 19:43:32 500000	19:43	0.2817453554274446	0.27382095715665417	0.2777831562920494	0.34930546426543385	-6.188615963241574
20	2018-03-25 19:43:32 845000	19:43	0.30751005235654527	0.2897292418276411	0.2986196470920932	0.36904268533248347	-6.2634906143345574
21	2018-03-25 19:43:33 190000	19:43	0.2979383556775891	0.2897074372210124	0.2938228964493007	0.34412104152528233	-6.115503566285412
