	date_and_time	time	blinking start time	blinking end time	blinking time	no of frames
67	2018-03-25 19:48:01 625000	19:48	1521987479.908	1521987481.625	1.7170000076293945	2
68	2018-03-25 19:48:06 194000	19:48	1521987485.844	1521987486.194	0.34999990463256836	1
69	2018-03-25 19:48:13 906000	19:48	1521987492.707	1521987493.906	1.1989998817443848	3
70	2018-03-25 19:48:18 477000	19:48	1521987498.115	1521987498.477	0.3619999885559082	1
71	2018-03-25 19:48:23 146000	19:48	1521987502.793	1521987503.146	0.3529999256134033	1
72	2018-03-25 19:48:33 493000	19:48	1521987512.777	1521987513.494	0.7160000801086426	2
73	2018-03-25 19:48:36 686000	19:48	1521987516.184	1521987516.686	0.502000093460083	1
74	2018-03-25 19:48:40 221000	19:48	1521987519.865	1521987520.221	0.3559999465942383	1
75	2018-03-25 19:49:03 750000	19:49	1521987543.406	1521987543.75	0.34400010108947754	1
76	2018-03-25 19:49:06 616000	19:49	1521987546.266	1521987546.616	0.34999990463256836	1
77	2018-03-25 19:49:09 466000	19:49	1521987549.113	1521987549.466	0.3530001640319824	1
78	2018-03-25 19:49:12 314000	19:49	1521987551.94	1521987552.314	0.37399983406066895	1
79	2018-03-25 19:49:20 453000	19:49	1521987560.106	1521987560.453	0.3470001220703125	1
80	2018-03-25 19:49:23 708000	19:49	1521987563.35	1521987563.708	0.3580000400543213	1
81	2018-03-25 19:49:30 577000	19:49	1521987569.849	1521987570.577	0.7279999256134033	2
82	2018-03-25 19:49:33 395000	19:49	1521987573.046	1521987573.395	0.3489999771118164	1
83	2018-03-25 19:49:38 375000	19:49	1521987577.671	1521987578.375	0.7039999961853027	2
84	2018-03-25 19:49:41 962000	19:49	1521987581.252	1521987581.962	0.7099997997283936	2
85	2018-03-25 19:49:45 205000	19:49	1521987584.846	1521987585.205	0.35899996757507324	1
86	2018-03-25 19:49:52 336000	19:49	1521987591.971	1521987592.336	0.36500000953674316	1
87	2018-03-25 19:49:56 995000	19:49	1521987596.639	1521987596.995	0.3559999465942383	1
88	2018-03-25 19:49:59 042000	19:49	1521987598.662	1521987599.042	0.38000011444091797	1
89	2018-03-25 19:50:04 675000	19:50	1521987603.87	1521987604.675	0.8050000667572021	2
90	2018-03-25 19:50:06 890000	19:50	1521987605.402	1521987606.891	1.4880001544952393	2
91	2018-03-25 19:50:07 591000	19:50	1521987607.235	1521987607.591	0.3560001850128174	1
92	2018-03-25 19:50:10 799000	19:50	1521987610.085	1521987610.799	0.7139999866485596	2
93	2018-03-25 19:50:15 391000	19:50	1521987615.043	1521987615.391	0.34800004959106445	1
94	2018-03-25 19:50:16 798000	19:50	1521987616.453	1521987616.798	0.3450000286102295	1
95	2018-03-25 19:50:17 498000	19:50	1521987617.149	1521987617.498	0.3489999771118164	1
96	2018-03-25 19:50:22 111000	19:50	1521987621.763	1521987622.111	0.34800004959106445	1
97	2018-03-25 19:50:27 467000	19:50	1521987627.125	1521987627.467	0.34200000762939453	1
98	2018-03-25 19:50:30 718000	19:50	1521987630.376	1521987630.718	0.34200000762939453	1
99	2018-03-25 19:50:33 945000	19:50	1521987633.595	1521987633.945	0.34999990463256836	1
100	2018-03-25 19:50:36 809000	19:50	1521987636.097	1521987636.809	0.7120001316070557	2
101	2018-03-25 19:50:40 373000	19:50	1521987640.028	1521987640.373	0.3449997901916504	1
102	2018-03-25 19:50:42 796000	19:50	1521987642.096	1521987642.796	0.7000000476837158	2
103	2018-03-25 19:50:48 406000	19:50	1521987648.062	1521987648.406	0.34399986267089844	1
104	2018-03-25 19:51:01 187000	19:51	1521987660.842	1521987661.187	0.3450000286102295	1
105	2018-03-25 19:51:04 963000	19:51	1521987664.619	1521987664.963	0.34400010108947754	1
106	2018-03-25 19:51:07 714000	19:51	1521987667.03	1521987667.714	0.6840000152587891	2
107	2018-03-25 19:51:09 093000	19:51	1521987668.748	1521987669.093	0.3450000286102295	1
108	2018-03-25 19:51:12 184000	19:51	1521987671.841	1521987672.184	0.3429999351501465	1
109	2018-03-25 19:51:19 406000	19:51	1521987678.028	1521987679.406	1.3779997825622559	2
110	2018-03-25 19:51:28 373000	19:51	1521987684.239	1521987688.373	4.133999824523926	11
111	2018-03-25 19:51:34 901000	19:51	1521987692.5	1521987694.901	2.4010000228881836	7
112	2018-03-25 19:51:39 029000	19:51	1521987697.654	1521987699.029	1.375	4
113	2018-03-25 19:51:42 823000	19:51	1521987699.375	1521987702.823	3.447999954223633	8
114	2018-03-25 19:51:51 434000	19:51	1521987705.572	1521987711.434	5.861999988555908	17
115	2018-03-25 19:51:58 999000	19:51	1521987718.655	1521987718.999	0.34400010108947754	1
116	2018-03-25 19:52:05 527000	19:52	1521987725.185	1521987725.527	0.34200000762939453	1
117	2018-03-25 19:52:07 251000	19:52	1521987726.902	1521987727.251	0.3489999771118164	1
118	2018-03-25 19:52:09 309000	19:52	1521987728.966	1521987729.309	0.3429999351501465	1
119	2018-03-25 19:52:13 094000	19:52	1521987732.748	1521987733.094	0.34600019454956055	1
120	2018-03-25 19:52:15 155000	19:52	1521987734.811	1521987735.155	0.34399986267089844	1
121	2018-03-25 19:52:17 560000	19:52	1521987737.215	1521987737.56	0.3450000286102295	1
122	2018-03-25 19:52:19 995000	19:52	1521987739.645	1521987739.995	0.34999990463256836	1
123	2018-03-25 19:52:24 826000	19:52	1521987744.48	1521987744.826	0.34599995613098145	1
124	2018-03-25 19:52:27 230000	19:52	1521987746.889	1521987747.23	0.3410000801086426	1
125	2018-03-25 19:52:30 324000	19:52	1521987749.637	1521987750.324	0.6869997978210449	2
126	2018-03-25 19:52:33 483000	19:52	1521987750.674	1521987753.483	2.809000015258789	7
127	2018-03-25 19:52:35 578000	19:52	1521987755.234	1521987755.578	0.34400010108947754	1
128	2018-03-25 19:52:37 996000	19:52	1521987757.311	1521987757.996	0.684999942779541	2
129	2018-03-25 19:52:39 420000	19:52	1521987759.072	1521987759.42	0.34800004959106445	1
130	2018-03-25 19:52:40 793000	19:52	1521987759.766	1521987760.793	1.0269999504089355	2
131	2018-03-25 19:52:42 527000	19:52	1521987761.838	1521987762.527	0.6889998912811279	2
132	2018-03-25 19:52:50 482000	19:52	1521987765.324	1521987770.482	5.158000230789185	11
133	2018-03-25 19:52:51 855000	19:52	1521987771.511	1521987771.855	0.34400010108947754	1
134	2018-03-25 19:52:53 234000	19:52	1521987772.887	1521987773.234	0.3469998836517334	1
135	2018-03-25 19:53:01 575000	19:53	1521987775.651	1521987781.575	5.924000024795532	15
136	2018-03-25 19:53:02 662000	19:53	1521987781.929	1521987782.662	0.7330000400543213	2
137	2018-03-25 19:53:04 776000	19:53	1521987784.092	1521987784.776	0.6840000152587891	2
138	2018-03-25 19:53:09 931000	19:53	1521987789.585	1521987789.931	0.34599995613098145	1
139	2018-03-25 19:53:11 998000	19:53	1521987791.649	1521987791.998	0.3489999771118164	1
140	2018-03-25 19:53:14 168000	19:53	1521987793.77	1521987794.168	0.39800000190734863	1
141	2018-03-25 19:53:15 936000	19:53	1521987795.593	1521987795.936	0.3430001735687256	1
142	2018-03-25 19:53:17 717000	19:53	1521987797.003	1521987797.717	0.7139999866485596	1
143	2018-03-25 19:53:22 042000	19:53	1521987801.654	1521987802.042	0.3880000114440918	1
144	2018-03-25 19:53:28 959000	19:53	1521987808.508	1521987808.959	0.4510002136230469	1
145	2018-03-25 19:53:34 690000	19:53	1521987814.341	1521987814.69	0.3489999771118164	1
146	2018-03-25 19:53:39 709000	19:53	1521987819.304	1521987819.709	0.4050002098083496	1
147	2018-03-25 19:53:48 178000	19:53	1521987823.214	1521987828.178	4.96399998664856	11
148	2018-03-25 19:53:54 667000	19:53	1521987833.975	1521987834.667	0.692000150680542	1
149	2018-03-25 19:53:57 520000	19:53	1521987837.152	1521987837.52	0.3680000305175781	1
150	2018-03-25 19:54:02 642000	19:54	1521987841.867	1521987842.642	0.7749998569488525	1
151	2018-03-25 19:54:05 073000	19:54	1521987844.735	1521987845.073	0.3380000591278076	1
152	2018-03-25 19:54:07 171000	19:54	1521987846.829	1521987847.171	0.34200000762939453	1
153	2018-03-25 19:54:15 788000	19:54	1521987855.431	1521987855.788	0.35700011253356934	1
154	2018-03-25 19:54:19 285000	19:54	1521987858.896	1521987859.285	0.38900017738342285	1
155	2018-03-25 19:54:21 540000	19:54	1521987861.161	1521987861.54	0.3789999485015869	1
156	2018-03-25 19:54:24 504000	19:54	1521987864.123	1521987864.504	0.3810000419616699	1
157	2018-03-25 19:54:28 141000	19:54	1521987867.796	1521987868.141	0.3450000286102295	1
158	2018-03-25 19:54:30 650000	19:54	1521987870.31	1521987870.65	0.3400001525878906	1
159	2018-03-25 19:54:32 716000	19:54	1521987871.682	1521987872.716	1.0340001583099365	3
160	2018-03-25 19:54:50 846000	19:54	1521987890.476	1521987890.846	0.36999988555908203	1
161	2018-03-25 19:55:12 810000	19:55	1521987912.467	1521987912.81	0.3429999351501465	1
162	2018-03-25 19:55:15 554000	19:55	1521987914.867	1521987915.554	0.6869997978210449	1
163	2018-03-25 19:55:20 024000	19:55	1521987918.99	1521987920.024	1.0339999198913574	1
164	2018-03-25 19:55:25 202000	19:55	1521987924.836	1521987925.202	0.3659999370574951	1
165	2018-03-25 19:55:33 476000	19:55	1521987931.763	1521987933.476	1.7130000591278076	5
166	2018-03-25 19:55:36 228000	19:55	1521987935.882	1521987936.228	0.34599995613098145	1
167	2018-03-25 19:55:48 930000	19:55	1521987948.247	1521987948.93	0.6830000877380371	2
168	2018-03-25 19:55:52 026000	19:55	1521987951.34	1521987952.026	0.6860001087188721	2
169	2018-03-25 19:55:57 541000	19:55	1521987955.135	1521987957.541	2.4059998989105225	2
170	2018-03-25 19:55:59 967000	19:55	1521987959.608	1521987959.967	0.35899996757507324	1
171	2018-03-25 19:56:02 733000	19:56	1521987960.667	1521987962.733	2.065999984741211	6
172	2018-03-25 19:56:04 101000	19:56	1521987963.416	1521987964.101	0.6850001811981201	2
